round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss,handover
6,5,1,0.4208,30.0304,0,0
6,6,2,0.50496,10.0066,0,0
6,7,3,0.4208,10.0304,0,0
6,8,3,0.4208,29.959,0,0
6,9,3,0.4208,9.95897,0,0
6,10,3,0.4208,29.9593,0,0
6,11,1,0.4208,10.0313,0,0
6,12,2,0.4208,9.88754,0,0
6,13,3,0.4208,30.0313,0,0
6,14,1,0.4208,30.032,0,0
6,15,2,0.4208,29.959,0,0
6,16,2,0.4208,29.9598,0,0
6,17,2,0.33664,14.7092,0,0
6,18,3,0.4208,10.0311,0,0
6,19,3,0.4208,9.88754,0,0
7,0,3,0.4208,10.0304,0,0
7,1,3,0.4208,29.8875,0,0
7,2,3,0.4208,29.6733,0,0
7,3,2,0.4208,30.0321,0,0
7,4,2,0.4208,30.0313,0,0
7,5,1,0.4208,30.0304,0,0
7,6,2,0.4208,9.95897,0,0
7,7,3,0.4208,10.0304,0,0
7,8,3,0.4208,29.959,0,0
7,9,3,0.4208,9.95897,0,0
7,10,3,0.4208,29.9598,0,0
7,11,1,0.4208,10.0313,0,0
7,12,2,0.4208,9.88754,0,0
7,13,3,0.4208,30.0313,0,0
7,14,1,0.4208,30.0313,0,0
7,15,2,0.4208,29.959,0,0
7,16,2,0.4208,29.9598,0,0
7,17,2,0.4208,29.6018,0,0
7,18,3,0.4208,10.0304,0,0
7,19,3,0.4208,9.88754,0,0
8,0,3,0.4208,10.0304,0,0
8,1,3,0.4208,29.8875,0,0
8,2,3,0.4208,29.6733,0,0
8,3,2,0.4208,30.0321,0,0
8,4,2,0.4208,30.0313,0,0
8,5,1,0.4208,30.0304,0,0
8,6,2,0.4208,9.95897,0,0
8,7,3,0.4208,10.0304,0,0
8,8,3,0.4208,29.959,0,0
8,9,3,0.4208,9.95897,0,0
8,10,3,0.4208,29.9598,0,0
8,11,1,0.4208,10.0313,0,0
8,12,2,0.4208,9.88754,0,0
8,13,3,0.4208,30.0313,0,0
8,14,1,0.4208,30.0313,0,0
8,15,2,0.4208,29.959,0,0
8,16,2,0.4208,29.9598,0,0
8,17,2,0.4208,29.6875,0,0
8,18,3,0.4208,10.0304,0,0
8,19,3,0.4208,9.88754,0,0
9,0,3,0.4208,10.0304,0,0
9,1,3,0.4208,29.8875,0,0
9,2,3,0.4208,29.6733,0,0
9,3,2,0.4208,30.0321,0,0
9,4,2,0.4208,30.0313,0,0
9,5,1,0.4208,30.0304,0,0
9,6,2,0.4208,9.95897,0,0
9,7,3,0.4208,10.0304,0,0
9,8,3,0.4208,29.959,0,0
9,9,3,0.4208,9.95897,0,0
9,10,3,0.4208,29.9598,0,0
9,11,1,0.4208,10.0313,0,0
9,12,2,0.4208,9.88754,0,0
9,13,3,0.4208,30.0313,0,0
9,14,1,0.4208,30.0313,0,0
9,15,2,0.4208,29.959,0,0
9,16,2,0.4208,29.9598,0,0
9,17,2,0.4208,29.6447,0,0
9,18,3,0.4208,10.0304,0,0
9,19,3,0.4208,9.88754,0,0
10,0,3,0.4208,10.0304,0,0
10,1,3,0.4208,29.8875,0,0
10,2,3,0.4208,29.6733,0,0
10,3,2,0.4208,30.0321,0,0
10,4,2,0.4208,30.0313,0,0
10,5,1,0.4208,30.0304,0,0
10,6,2,0.4208,9.95897,0,0
10,7,3,0.4208,10.0304,0,0
10,8,3,0.4208,29.959,0,0
