round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
12,17,3,0.917344,1088.3,0.138889
12,18,2,0.29456,160.859,0.189153
12,19,3,0.614368,779.98,0.141534
13,0,2,2.01984,511.782,0.176255
13,1,2,0.4208,198.358,0.253366
13,2,3,0.185152,1471.46,0.237454
13,3,3,5.71446,132.764,0
13,4,1,6.44666,72.8059,0.0501836
13,5,1,3.156,274.048,0.124847
13,6,2,0.656448,189.566,0.253366
13,7,2,0.4208,181.72,0.252142
13,8,3,0.2104,170.558,0.253366
13,9,2,0.454464,192.294,0.252142
13,10,2,0.479712,190.706,0.253366
13,11,3,2.4743,437.412,0.175031
13,12,1,6.76646,41.9389,0.0122399
13,13,2,0.850016,467.206,0.170135
13,14,2,2.01142,518.747,0.190942
13,15,2,0.387136,180.575,0.253366
13,16,1,6.12685,136.961,0.0257038
13,17,3,1.15299,940.416,0.186047
13,18,2,0.395552,166.696,0.249694
13,19,3,0.698528,707.869,0.201958
14,0,2,2.24707,494.679,0.214123
14,1,2,0.429216,197.551,0.305239
14,2,3,0.218816,1270.39,0.290433
14,3,3,6.17734,127.648,0.00341686
14,4,1,6.96003,69.0839,0.0569476
14,5,1,3.18966,272.853,0.15262
14,6,2,0.67328,189.723,0.305239
14,7,2,0.454464,182.468,0.3041
14,8,3,0.286144,176.358,0.305239
14,9,2,0.471296,191.54,0.3041
14,10,2,0.496544,191.516,0.305239
14,11,3,2.77728,418.986,0.232346
14,12,1,7.25459,41.1608,0.0113895
14,13,2,0.959424,431.463,0.224374
14,14,2,2.12925,527.261,0.228929
14,15,2,0.395552,179.831,0.305239
14,16,1,6.62339,128.724,0.0398633
14,17,3,1.33814,866.61,0.22779
14,18,2,0.446048,165.149,0.300683
14,19,3,0.791104,643.96,0.246014
15,0,2,2.38173,491.644,0.249201
15,1,2,0.429216,197.551,0.350373
15,2,3,0.260896,1092.05,0.336528
15,3,3,6.61498,130.613,0.0170394
15,4,1,7.47341,65.9295,0.0532481
15,5,1,3.29066,269.99,0.175719
15,6,2,0.732192,188.21,0.350373
15,7,2,0.471296,182.116,0.349308
15,8,3,0.33664,175.683,0.350373
15,9,2,0.538624,188.481,0.349308
15,10,2,0.521792,190.618,0.349308
15,11,3,3.05501,406.335,0.282215
15,12,1,7.72589,44.7269,0.0106496
15,13,2,1.00992,418.789,0.27476
15,14,2,2.27232,531.121,0.264111
15,15,2,0.437632,179.501,0.350373
15,16,1,7.09469,126.252,0.0489883
15,17,3,1.48963,826.264,0.263046
15,18,2,0.50496,163.322,0.346113
15,19,3,0.892096,591.022,0.28754
16,0,2,2.50797,485.211,0.28
16,1,1,0.446048,191.556,0.38
16,2,3,0.353472,854.787,0.377
16,3,3,7.08627,133.19,0.024
16,4,1,7.98678,63.1964,0.05
16,5,1,3.49264,263.096,0.185
16,6,2,0.8416,183.442,0.381
16,7,2,0.622784,176.564,0.384
16,8,3,0.4208,178.102,0.39
16,9,2,0.656448,182.688,0.38
16,10,2,0.690112,185.113,0.379
16,11,3,3.29066,402.821,0.326
16,12,1,8.29818,45.5795,0.01
16,13,2,1.13616,389.861,0.319
16,14,2,2.45747,527.12,0.292
16,15,2,0.605952,176.349,0.387
16,16,1,7.66698,121.518,0.053
16,17,3,1.56538,824.629,0.302
16,18,2,0.648032,161.107,0.386
16,19,3,1.01834,536.424,0.331
17,0,2,2.75203,469.647,0.313559
17,1,1,0.513376,189.596,0.404896
17,2,3,0.4208,745.144,0.412429
17,3,3,7.61648,133.467,0.0423729
17,4,1,8.50016,60.7519,0.047081
17,5,1,3.50947,262.868,0.181733
17,6,2,0.942592,182.453,0.40113
17,7,2,0.749024,174.753,0.413371
17,8,3,0.446048,176.817,0.421846
17,9,2,0.723776,182.951,0.405838
17,10,2,0.8416,177.145,0.405838
17,11,3,3.5768,393.053,0.345574
17,12,1,8.81155,44.1656,0.0094162
17,13,2,1.22032,374.58,0.357815
17,14,2,2.65104,519.501,0.309793
17,15,2,0.67328,177.088,0.414313
17,16,1,8.18035,115.2,0.0564972
17,17,3,1.56538,824.629,0.341808
17,18,2,0.765856,162.209,0.419962
17,19,3,1.07725,516.991,0.36629
18,0,2,2.83619,467.831,0.337489
18,1,1,0.521792,189.746,0.430988
18,2,3,0.446048,713.997,0.444346
18,3,3,8.11302,133.009,0.0730187
18,4,1,8.8873,63.639,0.0445236
18,5,1,3.50947,262.868,0.191451
18,6,2,0.959424,182.683,0.416741
18,7,2,0.765856,174.557,0.43455
18,8,3,0.446048,176.817,0.449688
18,9,2,0.765856,182.46,0.428317
18,10,2,0.858432,177.354,0.423865
18,11,3,3.93869,378.812,0.352627
18,12,1,9.32493,42.912,0.00890472
18,13,2,1.2624,368.385,0.392698
18,14,2,2.80253,518.891,0.323241
18,15,2,0.698528,176.804,0.436331
18,16,1,8.59274,113.579,0.0578807
18,17,3,1.56538,824.629,0.37756
18,18,2,0.774272,162.828,0.451469
18,19,3,1.09408,512.051,0.39715
19,0,2,2.85302,467.984,0.357264
19,1,1,0.538624,188.621,0.454392
19,2,3,0.454464,704.111,0.472973
19,3,3,8.54224,135.68,0.0903716
19,4,1,9.11453,70.3164,0.0422297
19,5,1,3.5263,262.438,0.202703
19,6,2,0.959424,182.683,0.439189
19,7,2,0.774272,174.899,0.461149
19,8,3,0.446048,176.817,0.475507
19,9,2,0.765856,182.46,0.44848
19,10,2,0.858432,177.354,0.44848
19,11,3,4.3679,360.06,0.353885
19,12,1,9.8383,41.7926,0.00844595
19,13,2,1.2624,368.385,0.423142
19,14,2,2.91194,522.957,0.331926
19,15,2,0.698528,176.804,0.461993
19,16,1,8.95462,117.9,0.0625
19,17,3,1.56538,824.629,0.409628
19,18,2,0.774272,162.828,0.477196
19,19,3,1.09408,512.051,0.425676
20,0,3,2.85302,467.984,0.373494
20,1,1,0.563872,188.831,0.476305
20,2,3,0.471296,685.693,0.497189
20,3,3,8.86205,139.468,0.103614
20,4,1,9.34176,77.4503,0.0401606
20,5,1,3.55155,261.719,0.216867
20,6,2,0.96784,182.778,0.460241
20,7,2,0.782688,174.832,0.480321
20,8,3,0.471296,176.962,0.501205
20,9,2,0.765856,182.46,0.473896
20,10,2,0.875264,177.234,0.473092
20,11,3,4.68771,351.637,0.363855
20,12,1,10.3517,41.5607,0.00803213
20,13,2,1.27082,367.039,0.450602
20,14,2,3.06342,529.503,0.346988
20,15,2,0.706944,176.669,0.484337
20,16,1,9.47642,117.149,0.0666667
20,17,3,1.70003,902.686,0.438554
20,18,2,0.774272,162.828,0.499598
20,19,3,1.12774,502.134,0.453815
21,0,3,2.86144,467.184,0.383614
21,1,1,0.58912,188.224,0.496937
21,2,3,0.479712,677.341,0.518377
21,3,3,9.11453,144.352,0.104135
21,4,1,9.51008,83.3722,0.0382848
21,5,1,3.65254,258.729,0.248851
21,6,2,0.96784,182.778,0.482389
21,7,2,0.791104,175.14,0.502297
21,8,3,0.488128,177.473,0.522971
21,9,2,0.782688,181.295,0.496172
21,10,2,0.892096,177.706,0.496937
21,11,3,4.90653,352.113,0.367534
21,12,1,10.8651,40.7434,0.00918836
21,13,2,1.27923,365.606,0.468606
21,14,2,3.23174,526.607,0.365237
21,15,2,0.706944,176.669,0.504594
21,16,1,9.98979,113.21,0.0673813
21,17,3,1.76736,876.734,0.457887
21,18,2,0.807936,162.417,0.511485
21,19,3,1.12774,502.134,0.477795
22,0,3,2.86144,467.184,0.391368
22,1,1,0.597536,188.065,0.518654
22,2,3,0.488128,668.322,0.537674
22,3,3,9.35859,149.021,0.100219
22,4,1,9.56058,86.804,0.0365764
22,5,1,3.66938,258.293,0.278713
22,6,2,1.0015,182.204,0.500366
22,7,2,0.824768,174.746,0.520849
22,8,3,0.521792,177.777,0.541331
22,9,2,0.816352,181.334,0.515728
22,10,2,0.92576,177.097,0.516459
22,11,3,5.07485,355.102,0.357718
22,12,1,11.37,40.1679,0.00877835
22,13,2,1.29606,362.939,0.486467
22,14,2,3.3664,523.934,0.38259
22,15,2,0.732192,177.043,0.522312
22,16,1,10.5032,109.122,0.0643745
22,17,3,2.12083,771.945,0.466715
22,18,2,0.850016,163.175,0.525238
22,19,3,1.13616,499.956,0.498903
23,0,3,2.86986,466.234,0.397059
23,1,1,0.605952,187.369,0.537115
23,2,3,0.496544,660.289,0.556723
23,3,3,9.55216,154.35,0.0959384
23,4,1,9.68682,98.9565,0.035014
23,5,1,3.70304,257.734,0.309524
23,6,2,1.03517,181.203,0.517507
23,7,2,0.866848,173.768,0.536415
23,8,3,0.521792,177.777,0.553221
23,9,2,0.8416,180.884,0.534314
23,10,2,0.942592,176.85,0.532213
23,11,3,5.20109,361.555,0.359944
23,12,1,11.8076,40.7986,0.00840336
23,13,2,1.3129,360.242,0.5007
23,14,2,3.47581,525.319,0.398459
23,15,2,0.732192,177.043,0.539916
23,16,1,11.0165,105.379,0.0616246
23,17,3,2.17133,761.229,0.469888
23,18,2,0.917344,160.986,0.537815
23,19,3,1.14458,497.332,0.513305
24,0,3,2.87827,465.286,0.405641
24,1,2,0.605952,187.369,0.555406
24,2,3,0.521792,635.494,0.571525
24,3,3,9.74573,159.657,0.0920081
24,4,1,9.91405,106.579,0.0335796
24,5,1,3.8377,253.946,0.334453
24,6,2,1.06883,179.701,0.53593
24,7,2,0.88368,174.119,0.553392
24,8,3,0.521792,177.777,0.566823
24,9,2,0.866848,180.192,0.551377
24,10,2,0.976256,175.515,0.550034
24,11,3,5.22634,364.823,0.361988
24,12,0,12.0433,45.8173,0.00873069
